ID,Date,Symbol,Open,High,Low,Close,Volume,Pct_Change
2023-01-03 AAPL,2023-01-03,AAPL,130.28,130.9,124.17,125.07,112117471,-3.74
2023-01-04 AAPL,2023-01-04,AAPL,126.89,128.6557,125.08,126.36,89113633,1.03
2023-01-05 AAPL,2023-01-05,AAPL,127.13,127.77,124.76,125.02,80962708,-1.06
2023-01-06 AAPL,2023-01-06,AAPL,126.01,130.29,124.89,129.62,87754715,3.68
2023-01-09 AAPL,2023-01-09,AAPL,130.465,133.41,129.89,130.15,70790813,0.41
2023-01-10 AAPL,2023-01-10,AAPL,130.26,131.2636,128.12,130.73,63896155,0.45
2023-01-11 AAPL,2023-01-11,AAPL,131.25,133.51,130.46,133.49,69458949,2.11
2023-01-12 AAPL,2023-01-12,AAPL,133.88,134.26,131.44,133.41,71379648,-0.06
2023-01-13 AAPL,2023-01-13,AAPL,132.03,134.92,131.66,134.76,57809719,1.01
2023-01-17 AAPL,2023-01-17,AAPL,134.83,137.29,134.13,135.94,63646627,0.88
2023-01-18 AAPL,2023-01-18,AAPL,136.815,138.61,135.03,135.21,69672800,-0.54
2023-01-19 AAPL,2023-01-19,AAPL,134.08,136.25,133.77,135.27,58280413,0.04
2023-01-20 AAPL,2023-01-20,AAPL,135.28,138.02,134.22,137.87,80223626,1.92
2023-01-23 AAPL,2023-01-23,AAPL,138.12,143.315,137.9,141.11,81760313,2.35
2023-01-24 AAPL,2023-01-24,AAPL,140.305,143.16,140.3,142.53,66435142,1.01
2023-01-25 AAPL,2023-01-25,AAPL,140.89,142.43,138.81,141.86,65799349,-0.47
2023-01-26 AAPL,2023-01-26,AAPL,143.17,144.25,141.9,143.96,54105068,1.48
2023-01-27 AAPL,2023-01-27,AAPL,143.155,147.23,143.08,145.93,70555843,1.37
2023-01-30 AAPL,2023-01-30,AAPL,144.955,145.55,142.85,143.0,64015274,-2.01
2023-01-31 AAPL,2023-01-31,AAPL,142.7,144.34,142.28,144.29,65874459,0.9
2023-02-01 AAPL,2023-02-01,AAPL,143.97,146.61,141.32,145.43,77663633,0.79
2023-02-02 AAPL,2023-02-02,AAPL,148.9,151.18,148.17,150.82,118338980,3.71
2023-02-03 AAPL,2023-02-03,AAPL,148.03,157.38,147.83,154.5,154357337,2.44
2023-02-06 AAPL,2023-02-06,AAPL,152.575,153.1,150.78,151.73,69858306,-1.79
2023-02-07 AAPL,2023-02-07,AAPL,150.64,155.23,150.64,154.65,83322551,1.92
2023-02-08 AAPL,2023-02-08,AAPL,153.88,154.58,151.168,151.92,64120079,-1.77
2023-02-09 AAPL,2023-02-09,AAPL,153.775,154.33,150.42,150.87,56007143,-0.69
2023-02-10 AAPL,2023-02-10,AAPL,149.46,151.3401,149.22,151.01,57450708,0.09
2023-02-13 AAPL,2023-02-13,AAPL,150.952,154.26,150.92,153.85,62199013,1.88
2023-02-14 AAPL,2023-02-14,AAPL,152.12,153.77,150.86,153.2,61707573,-0.42
2023-02-15 AAPL,2023-02-15,AAPL,153.11,155.5,152.88,155.33,65669252,1.39
2023-02-16 AAPL,2023-02-16,AAPL,153.51,156.33,153.3475,153.71,68167942,-1.04
2023-02-17 AAPL,2023-02-17,AAPL,152.35,153.0,150.85,152.55,59144118,-0.75
2023-02-21 AAPL,2023-02-21,AAPL,150.2,151.3,148.405,148.48,58867230,-2.67
2023-02-22 AAPL,2023-02-22,AAPL,148.87,149.95,147.16,148.91,51011305,0.29
2023-02-23 AAPL,2023-02-23,AAPL,150.09,150.34,147.24,149.4,48394249,0.33
2023-02-24 AAPL,2023-02-24,AAPL,147.11,147.19,145.7202,146.71,55469606,-1.8
2023-02-27 AAPL,2023-02-27,AAPL,147.71,149.17,147.45,147.92,44998470,0.82
2023-02-28 AAPL,2023-02-28,AAPL,147.05,149.08,146.83,147.41,50546998,-0.34
2023-03-01 AAPL,2023-03-01,AAPL,146.83,147.2285,145.01,145.31,55478991,-1.42
2023-03-02 AAPL,2023-03-02,AAPL,144.38,146.71,143.9,145.91,52279761,0.41
2023-03-03 AAPL,2023-03-03,AAPL,148.045,151.11,147.33,151.03,70732297,3.51
2023-03-06 AAPL,2023-03-06,AAPL,153.785,156.3,153.46,153.83,87558028,1.85
2023-03-07 AAPL,2023-03-07,AAPL,153.7,154.0299,151.13,151.6,56182028,-1.45
2023-03-08 AAPL,2023-03-08,AAPL,152.81,153.47,151.83,152.87,47204791,0.84
2023-03-09 AAPL,2023-03-09,AAPL,153.559,154.535,150.225,150.59,53833582,-1.49
2023-03-10 AAPL,2023-03-10,AAPL,150.21,150.94,147.6096,148.5,68572400,-1.39
2023-03-13 AAPL,2023-03-13,AAPL,147.805,153.14,147.7,150.47,84457122,1.33
2023-03-14 AAPL,2023-03-14,AAPL,151.28,153.4,150.1,152.59,73695893,1.41
2023-03-15 AAPL,2023-03-15,AAPL,151.19,153.245,149.92,152.99,77167866,0.26
2023-03-16 AAPL,2023-03-16,AAPL,152.16,156.46,151.64,155.85,76254419,1.87
2023-03-17 AAPL,2023-03-17,AAPL,156.08,156.74,154.28,155.0,98944633,-0.55
2023-03-20 AAPL,2023-03-20,AAPL,155.07,157.82,154.15,157.4,73641415,1.55
2023-03-21 AAPL,2023-03-21,AAPL,157.32,159.4,156.54,159.28,73938285,1.19
2023-03-22 AAPL,2023-03-22,AAPL,159.3,162.14,157.81,157.83,75701811,-0.91
2023-03-23 AAPL,2023-03-23,AAPL,158.83,161.5501,157.68,158.93,67622060,0.7
2023-03-24 AAPL,2023-03-24,AAPL,158.86,160.34,157.85,160.25,59256343,0.83
2023-03-27 AAPL,2023-03-27,AAPL,159.94,160.77,157.87,158.28,52390266,-1.23
2023-03-28 AAPL,2023-03-28,AAPL,157.97,158.49,155.98,157.65,45992152,-0.4
2023-03-29 AAPL,2023-03-29,AAPL,159.37,161.05,159.35,160.77,51305691,1.98
2023-03-30 AAPL,2023-03-30,AAPL,161.53,162.47,161.271,162.36,49501689,0.99
2023-03-31 AAPL,2023-03-31,AAPL,162.44,165.0,161.91,164.9,68749792,1.56
2023-04-03 AAPL,2023-04-03,AAPL,164.27,166.29,164.22,166.17,56976187,0.77
2023-04-04 AAPL,2023-04-04,AAPL,166.595,166.84,165.11,165.63,46278295,-0.32
2023-04-05 AAPL,2023-04-05,AAPL,164.74,165.05,161.8,163.76,51511744,-1.13
2023-04-06 AAPL,2023-04-06,AAPL,162.43,164.9584,162.0,164.66,45390123,0.55
2023-04-10 AAPL,2023-04-10,AAPL,161.42,162.03,160.08,162.03,47716882,-1.6
2023-04-11 AAPL,2023-04-11,AAPL,162.35,162.36,160.51,160.8,47644217,-0.76
2023-04-12 AAPL,2023-04-12,AAPL,161.22,162.06,159.78,160.1,50133062,-0.44
2023-04-13 AAPL,2023-04-13,AAPL,161.63,165.8,161.42,165.56,68445649,3.41
2023-04-14 AAPL,2023-04-14,AAPL,164.59,166.32,163.82,165.21,49386480,-0.21
2023-04-17 AAPL,2023-04-17,AAPL,165.09,165.39,164.03,165.23,40713618,0.01
2023-04-18 AAPL,2023-04-18,AAPL,166.1,167.41,165.65,166.47,49923008,0.75
2023-04-19 AAPL,2023-04-19,AAPL,165.8,168.16,165.54,167.63,47720166,0.7
2023-04-20 AAPL,2023-04-20,AAPL,166.09,167.87,165.56,166.65,52456377,-0.58
2023-04-21 AAPL,2023-04-21,AAPL,165.05,166.4521,164.49,165.02,58337341,-0.98
2023-04-24 AAPL,2023-04-24,AAPL,165.0,165.6,163.89,165.33,41949581,0.19
2023-04-25 AAPL,2023-04-25,AAPL,165.19,166.305,163.73,163.77,48714063,-0.94
2023-04-26 AAPL,2023-04-26,AAPL,163.055,165.28,162.8,163.76,44105745,-0.01
2023-04-27 AAPL,2023-04-27,AAPL,165.19,168.56,165.19,168.41,64902329,2.84
2023-04-28 AAPL,2023-04-28,AAPL,168.49,169.85,167.8801,169.68,55275851,0.75
2023-05-01 AAPL,2023-05-01,AAPL,169.28,170.45,168.64,169.59,52472936,-0.05
2023-05-02 AAPL,2023-05-02,AAPL,170.09,170.35,167.54,168.54,48425696,-0.62
2023-05-03 AAPL,2023-05-03,AAPL,169.5,170.92,167.16,167.45,65136018,-0.65
2023-05-04 AAPL,2023-05-04,AAPL,164.89,167.04,164.31,165.79,81235427,-0.99
2023-05-05 AAPL,2023-05-05,AAPL,170.975,174.3,170.76,173.57,113453171,4.69
2023-05-08 AAPL,2023-05-08,AAPL,172.48,173.85,172.11,173.5,55962793,-0.04
2023-05-09 AAPL,2023-05-09,AAPL,173.05,173.54,171.6,171.77,45326874,-1.0
2023-05-10 AAPL,2023-05-10,AAPL,173.02,174.03,171.9,173.555,53724501,1.04
2023-05-11 AAPL,2023-05-11,AAPL,173.85,174.59,172.17,173.75,49514676,0.11
2023-05-12 AAPL,2023-05-12,AAPL,173.62,174.06,171.0,172.57,45533138,-0.68
2023-05-15 AAPL,2023-05-15,AAPL,173.16,173.21,171.47,172.07,37266659,-0.29
2023-05-16 AAPL,2023-05-16,AAPL,171.99,173.1383,171.7991,172.07,42110293,0.0
2023-05-17 AAPL,2023-05-17,AAPL,171.71,172.925,170.4201,172.69,57951604,0.36
2023-05-18 AAPL,2023-05-18,AAPL,173.0,175.24,172.58,175.05,65496657,1.37
2023-05-19 AAPL,2023-05-19,AAPL,176.39,176.39,174.94,175.16,55809475,0.06
2023-05-22 AAPL,2023-05-22,AAPL,173.98,174.71,173.45,174.2,43570932,-0.55
2023-05-23 AAPL,2023-05-23,AAPL,173.13,173.3794,171.275,171.56,50747263,-1.52
2023-05-24 AAPL,2023-05-24,AAPL,171.09,172.4183,170.52,171.84,45143488,0.16
2023-05-25 AAPL,2023-05-25,AAPL,172.41,173.895,171.69,172.99,56058258,0.67
2023-05-26 AAPL,2023-05-26,AAPL,173.32,175.77,173.11,175.43,54834975,1.41
2023-05-30 AAPL,2023-05-30,AAPL,176.96,178.99,176.57,177.3,55964401,1.07
2023-05-31 AAPL,2023-05-31,AAPL,177.325,179.35,176.76,177.25,99313268,-0.03
2023-06-01 AAPL,2023-06-01,AAPL,177.7,180.12,176.9306,180.09,68901809,1.6
2023-06-02 AAPL,2023-06-02,AAPL,181.03,181.78,179.26,180.95,61996913,0.48
2023-06-05 AAPL,2023-06-05,AAPL,182.63,184.951,178.035,179.58,121946497,-0.76
2023-06-06 AAPL,2023-06-06,AAPL,179.965,180.12,177.43,179.21,64848374,-0.21
2023-06-07 AAPL,2023-06-07,AAPL,178.44,181.21,177.32,177.82,61944615,-0.78
2023-06-08 AAPL,2023-06-08,AAPL,177.895,180.84,177.46,180.57,50214881,1.55
2023-06-09 AAPL,2023-06-09,AAPL,181.5,182.23,180.63,180.96,48899973,0.22
2023-06-12 AAPL,2023-06-12,AAPL,181.27,183.89,180.97,183.79,54754995,1.56
2023-06-13 AAPL,2023-06-13,AAPL,182.8,184.15,182.44,183.31,54929129,-0.26
2023-06-14 AAPL,2023-06-14,AAPL,183.37,184.39,182.02,183.95,57462882,0.35
2023-06-15 AAPL,2023-06-15,AAPL,183.96,186.52,183.78,186.01,65433166,1.12
2023-06-16 AAPL,2023-06-16,AAPL,186.73,186.99,184.27,184.92,101256225,-0.59
2023-06-20 AAPL,2023-06-20,AAPL,184.41,186.1,184.41,185.01,49799092,0.05
2023-06-21 AAPL,2023-06-21,AAPL,184.9,185.41,182.5901,183.96,49515697,-0.57
2023-06-22 AAPL,2023-06-22,AAPL,183.74,187.045,183.67,187.0,51245327,1.65
2023-06-23 AAPL,2023-06-23,AAPL,185.55,187.56,185.01,186.68,53116996,-0.17
2023-06-26 AAPL,2023-06-26,AAPL,186.83,188.05,185.23,185.27,48088661,-0.76
2023-06-27 AAPL,2023-06-27,AAPL,185.89,188.39,185.67,188.06,50730846,1.51
2023-06-28 AAPL,2023-06-28,AAPL,187.93,189.9,187.6,189.25,51216801,0.63
2023-06-29 AAPL,2023-06-29,AAPL,189.08,190.07,188.94,189.59,46347308,0.18
2023-06-30 AAPL,2023-06-30,AAPL,191.63,194.48,191.26,193.97,85213216,2.31
