Date,Symbol,Open,High,Low,Close,Volume,Pct_Change
2023-02-24,AAPL,147.11,147.19,145.7202,146.71,55469606,-1.8
2023-02-27,AAPL,147.71,149.17,147.45,147.92,44998470,0.82
2023-02-28,AAPL,147.05,149.08,146.83,147.41,50546998,-0.34
2023-03-01,AAPL,146.83,147.2285,145.01,145.31,55478991,-1.42
2023-03-02,AAPL,144.38,146.71,143.9,145.91,52279761,0.41
2023-03-03,AAPL,148.045,151.11,147.33,151.03,70732297,3.51
2023-03-06,AAPL,153.785,156.3,153.46,153.83,87558028,1.85
2023-03-07,AAPL,153.7,154.0299,151.13,151.6,56182028,-1.45
2023-03-08,AAPL,152.81,153.47,151.83,152.87,47204791,0.84
2023-03-09,AAPL,153.559,154.535,150.225,150.59,53833582,-1.49
2023-03-10,AAPL,150.21,150.94,147.6096,148.5,68572400,-1.39
2023-03-13,AAPL,147.805,153.14,147.7,150.47,84457122,1.33
2023-03-14,AAPL,151.28,153.4,150.1,152.59,73695893,1.41
2023-03-15,AAPL,151.19,153.245,149.92,152.99,77167866,0.26
2023-03-16,AAPL,152.16,156.46,151.64,155.85,76254419,1.87
2023-03-17,AAPL,156.08,156.74,154.28,155.0,98944633,-0.55
2023-03-20,AAPL,155.07,157.82,154.15,157.4,73641415,1.55
2023-03-21,AAPL,157.32,159.4,156.54,159.28,73938285,1.19
2023-03-22,AAPL,159.3,162.14,157.81,157.83,75701811,-0.91
2023-03-23,AAPL,158.83,161.5501,157.68,158.93,67622060,0.7
2023-03-24,AAPL,158.86,160.34,157.85,160.25,59256343,0.83
2023-03-27,AAPL,159.94,160.77,157.87,158.28,52390266,-1.23
2023-03-28,AAPL,157.97,158.49,155.98,157.65,45992152,-0.4
2023-03-29,AAPL,159.37,161.05,159.35,160.77,51305691,1.98
2023-03-30,AAPL,161.53,162.47,161.271,162.36,49501689,0.99
2023-03-31,AAPL,162.44,165.0,161.91,164.9,68749792,1.56
2023-04-03,AAPL,164.27,166.29,164.22,166.17,56976187,0.77
2023-04-04,AAPL,166.595,166.84,165.11,165.63,46278295,-0.32
2023-04-05,AAPL,164.74,165.05,161.8,163.76,51511744,-1.13
2023-04-06,AAPL,162.43,164.9584,162.0,164.66,45390123,0.55
2023-04-10,AAPL,161.42,162.03,160.08,162.03,47716882,-1.6
2023-04-11,AAPL,162.35,162.36,160.51,160.8,47644217,-0.76
2023-04-12,AAPL,161.22,162.06,159.78,160.1,50133062,-0.44
2023-04-13,AAPL,161.63,165.8,161.42,165.56,68445649,3.41
2023-04-14,AAPL,164.59,166.32,163.82,165.21,49386480,-0.21
2023-04-17,AAPL,165.09,165.39,164.03,165.23,40713618,0.01
2023-04-18,AAPL,166.1,167.41,165.65,166.47,49923008,0.75
2023-04-19,AAPL,165.8,168.16,165.54,167.63,47720166,0.7
2023-04-20,AAPL,166.09,167.87,165.56,166.65,52456377,-0.58
